Date,LastOpen,LastHigh,LastLow,Close,Adj Close,Volume
737411,28.690001,30.299999,28.440001,28.57,28.57,4705500
737412,29.219999,29.940001,27.92,30.200001,30.200001,3681100
737413,29.23,30.5,29.200001,28.01,28.01,9417400
737414,29.959999,30.01,27.5,27.74,27.74,6468100
737417,27.99,27.99,27.32,27.709999,27.709999,5371900
737418,28.33,28.341,27.59,26.959999,26.959999,4211400
737419,28.08,28.1,26.610001,27.76,27.76,2745700
737420,27.549999,27.959999,27.209999,27.389999,27.389999,3365700
737421,27.540001,28.305,27.09,25.139999,25.139999,7351500
737424,26.58,26.85,25,26.530001,26.530001,5052200
737425,26.360001,27.1,26.045,27.51,27.51,3633700
737426,27.280001,28.01,27.26,27.98,27.98,2815400
737427,28.030001,28.57,27.91,28.65,28.65,3880800
737428,28.5,28.76,27.889999,29,29,3280300
737431,28.82,29.84,28.620001,28.68,28.68,3598300
737432,28.76,29.190001,28.08,29.24,29.24,3650300
737433,28.879999,30.129999,28.629999,30.68,30.68,6841500
737434,29.940001,31.17,29.82,31.030001,31.030001,5343700
737435,30.219999,31.120001,28.65,30.879999,30.879999,5019200
737438,30.24,31.620001,30.1,33.66,33.66,9193100
737439,32,34.099998,31.860001,35.220001,35.220001,15117100
737440,33.049999,36.259998,31.360001,32.700001,32.700001,11201800
737441,35.900002,36.470001,32.150002,33.93,33.93,7564300
737442,31.93,34.02,31.5,33.040001,33.040001,5388200
737446,32.400002,33.389999,31.549999,33.130001,33.130001,3563200
737447,33.91,34.700001,33.060001,32.299999,32.299999,6215900
737448,34.080002,34.189999,30.879999,30.74,30.74,8328100
737449,31.34,33.02,30.540001,32.43,32.43,19147900
737451,30.860001,32.77,30.440001,33.060001,33.060001,4416500
737452,32.439999,33.325001,32.32,34.189999,34.189999,5899000
737453,33.389999,34.200001,32.41,34.150002,34.150002,4703300
737454,34.540001,34.540001,33.310001,33.560001,33.560001,4179300
737455,34.200001,34.5,33.280998,34.5,34.5,5915000
737458,33.900002,34.540001,33.110001,34.959999,34.959999,5138300
737459,34.68,35.700001,33.84,33.869999,33.869999,3618300
737460,34.709999,35.088001,33.790001,35.48,35.48,4690900
737461,34.119999,35.790001,33.939999,33.900002,33.900002,4038800
737462,34.110001,35.132,33.584999,35.869999,35.869999,5585500
737465,34.98,36.009998,34.290001,38.209999,38.209999,7566700
737466,35.060001,38.535,35.02,39.34,39.34,6391300
737467,39.75,40,38.330002,41.110001,41.110001,6371900
737468,39.599998,42,39.080002,42.610001,42.610001,7089000
737469,41.279999,42.799999,40.700001,44.720001,44.720001,15148400
737472,44.189999,45.950001,43.650002,42.889999,42.889999,8230800
737473,45,45.025002,41.540001,44.639999,44.639999,5023900
737474,43.740002,45.34,43.27,44.029999,44.029999,5074500
737475,44.77,44.959999,42.549999,44.57,44.57,2616300
737476,43.450001,44.610001,43.450001,44.52,44.52,3748200
737479,44.860001,45.439999,43.639999,45.5,45.5,5393800
737480,44.029999,46.169998,43.59,46.32,46.32,5950800
737481,45.299999,47.919998,45.299999,47.150002,47.150002,3578400
737482,46.77,47.439999,46.029999,48.18,48.18,4361900
737486,48.419998,49.189999,47.810001,44.139999,44.139999,22247800
737487,51.169998,51.25,43.400002,46.23,46.23,9304900
737488,45.09,46.560001,43.5,46.669998,46.669998,7152600
737489,47.75,48.349998,45.099998,48.23,48.23,7391500
737490,49.290001,49.5,46.709999,47.549999,47.549999,4514700
737493,47.790001,48.209999,46.130001,45.310001,45.310001,6852100
737494,48.191002,49.369999,45,43.98,43.98,9998200
737495,43.950001,44.130001,41.299999,43.220001,43.220001,4293600
737496,44.650002,44.669998,42.66,42.540001,42.540001,9050300
737497,40.824001,42.785,40.380001,41.900002,41.900002,3440300
737500,42.254002,42.580002,41.529999,42.380001,42.380001,5145900
737501,42.150002,42.580002,40.810001,44.16,44.16,7570800
737502,44,45.360001,43.5,42.310001,42.310001,4857800
737503,43.264,45,41.779999,41,41,6635300
737504,43.220001,43.490002,40.615002,40.099998,40.099998,5854700
737507,39.009998,40.32,38.540001,41.32,41.32,3403800
737508,40.080002,41.41,39.66,40.860001,40.860001,2815600
737509,41.540001,42.630001,40.759998,41.77,41.77,3115200
737510,41.349998,42.314999,41.099998,41.299999,41.299999,1982600
737511,41.380001,42.119999,40.77,43.580002,43.580002,5780200
737513,41.799999,43.650002,41.450001,46.029999,46.029999,8228900
737514,44.785,47.619999,44.41,45.189999,45.189999,4517200
737515,46,46.59,44.564999,45.52,45.52,3714900
737516,45.950001,46.23,44.939999,44.439999,44.439999,4354700
737517,46.209999,46.450001,43.439999,41.610001,41.610001,7229900
737520,42.709999,43.200001,40.77,41,41,5301600
737521,42,42.064999,40.240002,40.34,40.34,3668100
737522,41.290001,41.43,40.119999,40.939999,40.939999,2639700
737523,40.73,41.419998,40.284,41.75,41.75,3805700
737524,41.599998,42.189999,41.119999,41.580002,41.580002,2892700
737527,41.939999,42.419998,40.900002,43.490002,43.490002,2866000
737528,42.112,43.599998,41.955002,45.310001,45.310001,4733500
737529,43.810001,45.439999,43.810001,45.27,45.27,3066000
737530,44.98,45.799999,44.380001,45.07,45.07,2200000
737531,45,45.669998,44.689999,44.990002,44.990002,2832100
737534,44.57,45.619999,44.549999,46.119999,46.119999,5653000
737535,46.32,48.34,45.634998,47,47,5175600
737536,45.91,47.299999,45.049999,48.720001,48.720001,7254100
737537,47.290001,49.98,47.235001,45.139999,45.139999,12618400
737538,45.784,46.380001,43.799999,47.389999,47.389999,7694100
